,source,sink,reactance,limit
512,n_11709,n_28601,71.21658508925539,1283.91
513,n_11742,n_15662,56.76721389125514,1265.09
514,n_11856,n_28998,186.19515598406093,5192.15
515,n_12162,n_18700,7295.808557983439,1735.47
516,n_12414,n_6888,21.377206429656578,4509.75
517,n_12430,n_25047,156.7254904449954,5134.24
518,n_12432,n_25047,6439.191495115873,6539.24
519,n_12439,n_25052,194.00730825530198,5206.06
520,n_13301,n_31027,20.4977417432944,32838.4
521,n_13431,n_4166,1161.8315111942466,1539.83
522,n_13780,n_27939,97.76523341205063,4978.9
523,n_13841,n_29284,407.5449613790017,1438.31
524,n_13841,n_30630,271.82444490050545,1400.89
525,n_13843,n_29240,1251.7947607382084,5877.89
526,n_13843,n_25970,303.12564982561184,1410.86
527,n_13956,n_17072,814.5192951475827,1504.63
528,n_14194,n_14258,520.4291875423825,1461.39
529,n_14194,n_18690,114.64278397619466,1324.32
530,n_14283,n_29239,20703.933747412008,3713.5
531,n_14283,n_14301,1597.68654987578,1572.09
532,n_14322,n_15629,298.99191884641743,2817.76
533,n_14549,n_26292,1020.5560397526988,5800.26
534,n_14626,n_15689,54.094569424537646,1261.13
535,n_15226,n_28662,35.47285870482846,1226.96
536,n_15511,n_15512,98.69927190534108,1311.48
537,n_15512,n_11742,117.38626796655524,1326.36
538,n_15512,n_30898,73.73083247197289,1286.81
539,n_15622,n_18690,74.32024474548437,1287.48
540,n_15626,n_15629,501.15641843554,1457.8
541,n_15628,n_15632,256.48161090970177,1395.6
542,n_15628,n_15626,138.25692034645525,1340.57
543,n_15628,n_30412,124.55862650697253,1331.49
544,n_15628,n_15630,110.94167851431342,1321.5
545,n_15641,n_30941,28.399781912394737,33542.91
546,n_15641,n_30940,202.22172925058447,38115.3
547,n_15661,n_18700,76.0976862955068,1289.46
548,n_15664,n_28707,173.23219575792461,1360.4
549,n_15689,n_29983,86206.89655172414,2037.74
550,n_15690,n_15691,61.367806166593105,1271.53
551,n_15690,n_29983,57.934806078589375,1266.77
552,n_15691,n_15692,48.23115145893445,1251.74
553,n_15691,n_29983,48.85798610410474,1252.8
